[2020-08-08T10:02:44.310] [INFO] default - item A020607 monthdata done
[2020-08-08T10:02:45.242] [INFO] default - item A020608 data_index done
[2020-08-08T10:02:47.518] [INFO] default - item A020608 monthdata done
[2020-08-08T10:02:48.509] [INFO] default - item A020609 data_index done
[2020-08-08T10:02:50.702] [INFO] default - item A020609 monthdata done
[2020-08-08T10:02:51.725] [INFO] default - item A02060A data_index done
[2020-08-08T10:02:54.092] [INFO] default - item A02060A monthdata done
[2020-08-08T10:02:54.892] [INFO] default - item A02060B data_index done
[2020-08-08T10:02:56.889] [INFO] default - item A02060B monthdata done
[2020-08-08T10:02:57.765] [INFO] default - item A02060C data_index done
[2020-08-08T10:02:59.758] [INFO] default - item A02060C monthdata done
[2020-08-08T10:03:00.581] [INFO] default - item A02060D data_index done
[2020-08-08T10:03:02.484] [INFO] default - item A02060D monthdata done
[2020-08-08T10:03:03.298] [INFO] default - item A02060E data_index done
[2020-08-08T10:03:05.556] [INFO] default - item A02060E monthdata done
[2020-08-08T10:03:06.381] [INFO] default - item A02060F data_index done
[2020-08-08T10:03:08.591] [INFO] default - item A02060F monthdata done
[2020-08-08T10:03:09.439] [INFO] default - item A02060G data_index done
[2020-08-08T10:03:11.566] [INFO] default - item A02060G monthdata done
[2020-08-08T10:03:12.364] [INFO] default - item A02060H data_index done
[2020-08-08T10:03:14.549] [INFO] default - item A02060H monthdata done
[2020-08-08T10:03:15.339] [INFO] default - item A02060I data_index done
[2020-08-08T10:03:17.566] [INFO] default - item A02060I monthdata done
[2020-08-08T10:03:18.364] [INFO] default - item A02060J data_index done
[2020-08-08T10:03:20.606] [INFO] default - item A02060J monthdata done
[2020-08-08T10:03:21.456] [INFO] default - item A02060K data_index done
[2020-08-08T10:03:23.524] [INFO] default - item A02060K monthdata done
[2020-08-08T10:03:24.397] [INFO] default - item A02060L data_index done
[2020-08-08T10:03:26.624] [INFO] default - item A02060L monthdata done
[2020-08-08T10:03:27.421] [INFO] default - item A02060M data_index done
[2020-08-08T10:03:29.508] [INFO] default - item A02060M monthdata done
[2020-08-08T10:03:30.314] [INFO] default - item A02060N data_index done
[2020-08-08T10:03:32.507] [INFO] default - item A02060N monthdata done
[2020-08-08T10:03:33.314] [INFO] default - item A02060O data_index done
[2020-08-08T10:03:35.573] [INFO] default - item A02060O monthdata done
[2020-08-08T10:03:36.389] [INFO] default - item A02060P data_index done
[2020-08-08T10:03:38.599] [INFO] default - item A02060P monthdata done
[2020-08-08T10:03:39.514] [INFO] default - item A02060Q data_index done
[2020-08-08T10:03:41.856] [INFO] default - item A02060Q monthdata done
[2020-08-08T10:03:42.862] [INFO] default - item A02060R data_index done
[2020-08-08T10:03:44.957] [INFO] default - item A02060R monthdata done
[2020-08-08T10:03:45.822] [INFO] default - item A02060S data_index done
[2020-08-08T10:03:48.097] [INFO] default - item A02060S monthdata done
[2020-08-08T10:03:48.972] [INFO] default - item A02060T data_index done
